matrix,Adaptive-rt
geom.mtx,75.3742
worms20_10NN.mtx,140.998
nopss_11k_C.mtx,29.8346
g7jac060sc.mtx,472.685
Reuters911_Day_19.mtx,50.9633
rdb5000.mtx,43.6974
light_in_tissue_Q.mtx,36.3778
bcsstk36.mtx,469.218
bips07_1998.mtx,92.8854
cyl6.mtx,382.681
Franz9.mtx,89.7217
nsct.mtx,867.279
t2d_q4_A_43.mtx,94.1821
ch8-8-b2.mtx,63.6292
oscil_dcop_40.mtx,35.8042
t2d_q9_A_26.mtx,92.2233
IG5-14.mtx,213.439
baxter.mtx,466.357
ABACUS_shell_ld_M.mtx,180.21
dynamicSoaringProblem_4.mtx,43.478
bayer10.mtx,292.696
Reuters911_Day_25.mtx,64.8602
Reuters911_Day_41.mtx,58.2037
nemeth01.mtx,353.765
nemeth16.mtx,263.506
Goodwin_040.mtx,513.266
Reuters911_Day_24.mtx,53.8444
large_A_01.mtx,59.986
t2d_q4_A_09.mtx,92.044
scfxm1-2b_A_3.mtx,209.509
mimo8x8_system.mtx,75.4589
s3rmq4m1.mtx,188.159
TSOPF_RS_b162_c1_b.mtx,35.5458
SmallW.mtx,48.0126
Reuters911_Day_51.mtx,60.269
oscil_dcop_24.mtx,32.9346
c-28.mtx,76.1783
rail4284.mtx,21620.4
t2d_q9_A_03.mtx,94.7108
IG5-9.mtx,43.9107
Reuters911_Day_61.mtx,63.4967
GL6_D_9.mtx,39.2532
flowmeter5_E.mtx,41.0573
stokes64s.mtx,75.7807
delf_A_35.mtx,55.3041
large_A_07.mtx,67.7026
e18.mtx,154.131
large_A_19.mtx,59.0981
Trefethen_200.mtx,30.5633
hydr1c_A_24.mtx,62.7668
std1_Jac2_db.mtx,533.406
t2d_q9_A_01.mtx,91.276
lpl3.mtx,162.914
c-44.mtx,136.842
rdb200l.mtx,30.7719
lns_3937.mtx,42.134
mark3jac040sc.mtx,497.252
t2d_q9_A_04.mtx,95.5539
oscil_dcop_07.mtx,32.8586
ch7-8-b2.mtx,53.5191
ex9.mtx,68.6889
Reuters911_Day_13.mtx,56.4532
msc10848.mtx,563.973
nemeth02.mtx,213.442
scsd8-2r_A_01.mtx,32.8518
south31.mtx,123.207
testbig.mtx,82.696
cavity01.mtx,41.2383
hydr1c_A_21.mtx,56.401
flowmeter5.mtx,74.256
bayer03.mtx,241.651
JapaneseVowelsSmall_10NN.mtx,89.1876
lp_bandm.mtx,38.0658
t2dah_B.mtx,36.5595
t2dal_bci.mtx,40.5534
lhr11c.mtx,257.823
poisson3Da.mtx,338.903
hydr1c_A_36.mtx,56.505
pivtol.mtx,30.3995
t2dal_e.mtx,33.3634
chipcool0_B.mtx,41.1029
hydr1c_A_14.mtx,60.0736
Reuters911_Day_66.mtx,56.3611
dynamicSoaringProblem_6.mtx,41.7108
hydr1c.mtx,74.5449
Reuters911_Day_45.mtx,56.2168
cavity16.mtx,159.076
