matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
t2d_q9_A_21,87025,9801,9801,0,r,1,0,8.879196,4,9,11732,75293,13.481,42140,44885,48.423,44574,42451,51.22,89.15744,89.655037,97.093376,101.397949,91.67382,90.057503,94.406754,0.99445,0.918265,0.879282,0.972551,0.990006,0.944397,0,0.0000000452207,2.85317E-11,2.32943E-10,6.34692E-10,6.34692E-10,6.34692E-10,45.600449,1.955188,0.00000709382
scsd8-2r_A_03,3650,170,1190,0,r,1,0,21.470588,10,24,2640,1010,72.329,0,3650,0,0,3650,0,5.406592,5.677344,6.347872,5.499904,5.527488,5.501216,5.510304,0.95231,0.851717,0.983034,0.978128,0.982799,0.981179,0,0.0000000397988,0.0000000305121,0,0,0,0,4.4176,1.223875,0.00000842689
fs_183_6,1069,183,183,0,r,1,0,5.84153,2,72,905,164,84.659,1060,9,99.158,1069,0,100,3.137184,3.591968,4.522688,3.733952,3.617632,3.56768,3.582016,0.873389,0.693655,0.840178,0.867193,0.879334,0.875815,0,0.0000000759548,3.69371E-15,8.88001E-12,0.0000000759548,0.0000000759548,0.0000000759548,3.736032,0.83971,0.00000269684
c-21,32157,3509,3509,1,r,1,0,9.164149,2,451,17534,14623,54.526,11123,21034,34.59,1953,30204,6.073,32.831806,36.983776,40.250336,39.537983,33.393345,33.540798,35.249184,0.887735,0.81569,0.830386,0.983184,0.978862,0.93142,0,0.0000000360613,1.57886E-10,5.13335E-11,6.05761E-11,6.05761E-11,6.05761E-11,19.686527,1.66773,0.00000563527
large_A_37,20635,4282,8617,0,r,1,0,4.81901,2,21,8408,12227,40.746,18098,2537,87.705,13517,7118,65.505,17.667328,19.934368,23.076927,22.549503,18.780001,18.72048,21.458689,0.886275,0.765584,0.783491,0.940752,0.943743,0.823318,0,0.0000000479184,3.33821E-11,1.51368E-10,0.0000000228424,0.0000000228424,0.0000000228424,12.72848,1.388015,0.00000833921
494_bus,1666,494,494,1,r,1,0,3.37247,2,10,9,1657,0.54,936,730,56.182,736,930,44.178,2.732768,3.105312,3.560736,3.190112,3.101216,3.014784,3.45664,0.88003,0.767473,0.856637,0.881192,0.906456,0.790585,0,0.0000000382314,7.38094E-13,2.53572E-10,6.79817E-10,6.79817E-10,6.79817E-10,3.669248,0.744776,0.00000373118
case9_A_07,147972,14454,14454,1,r,1,0,10.237443,1,7210,104414,43558,70.563,147955,17,99.989,147872,100,99.932,133.876999,143.295807,156.331451,148.112671,147.049957,143.41507,148.83725,0.93427,0.856366,0.903886,0.910418,0.933493,0.899486,0,0.0000000281801,1.31928E-14,1.30789E-13,9.00529E-14,9.00529E-14,9.00529E-14,70.650558,1.894918,0.00000124632
tumorAntiAngiogenesis_4,4593,455,455,1,r,1,0,10.094505,2,451,2443,2150,53.19,4553,40,99.129,4593,0,100,6.959808,7.899936,8.683232,8.333408,7.834208,7.758848,7.837632,0.880995,0.801523,0.835169,0.888387,0.897016,0.887999,0,0.000000058087,1.58371E-15,6.48004E-13,0.000000058087,0.000000058087,0.000000058087,5.69968,1.221088,0.000000942859
brainpc2,179395,27607,27607,1,r,1,0,6.498171,1,13799,119350,60045,66.529,124142,55253,69.2,41405,137990,23.08,258.614532,315.809387,324.764587,327.970947,274.509155,276.988007,316.339355,0.818894,0.796314,0.788529,0.942098,0.933667,0.817522,0,0.0000000377486,2.22604E-11,3.40101E-11,1.06399E-10,1.06399E-10,1.06399E-10,192.790939,1.341425,0.00000712226
t2d_q4_A_06,87025,9801,9801,0,r,1,0,8.879196,4,9,65271,21754,75.003,0,87025,0,0,87025,0,89.16301,89.621857,106.651039,92.473923,89.986755,88.612801,92.87616,0.99488,0.836026,0.964196,0.990846,1.006209,0.96002,0,0.000000045308,0.00000000973991,0,0,0,0,46.465569,1.918905,0.00000806296
