matrix,target,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr,adaptive-rt
adder_dcop_09,3,11239,1813,1813,0,r,1,0,6.199117,1,1310,11209,30,99.733,8552,2687,76.092,4636,6603,41.249,19.388544,22.948448,24.2616,23.504225,22.637377,19.796864,23.786016,0.844874,0.799145,0.824896,0.856484,0.979375,0.815124,0,4.76878e-08,5.85984e-10,4.03865e-11,5.30528e-09,5.30528e-09,5.30528e-09,15.534688,1.248081,9.73867e-06,186.958
lp_greenbea,3,31070,2392,5598,0,r,1,3,12.98913,0,275,14015,17055,45.108,5119,25951,16.476,738,30332,2.375,24.93104,28.876991,31.700224,27.854561,25.268896,25.101824,25.981983,0.863353,0.786463,0.895043,0.98663,0.993196,0.959551,0,3.26781e-08,8.41997e-09,4.44256e-10,1.05948e-09,1.05948e-09,1.05948e-09,14.564576,1.711759,1.54984e-05,112.568
extr1b_a_15,3,9052,2836,2836,0,r,1,0,3.191819,1,10,3508,5544,38.754,8563,489,94.598,8396,656,92.753,7.245472,8.381536,10.864512,8.573056,8.296192,8.00304,9.019872,0.864456,0.666893,0.845145,0.873349,0.90534,0.803279,0,3.96109e-08,2.15415e-12,5.61908e-11,2.44107e-09,2.44107e-09,2.44107e-09,5.387552,1.344854,7.98868e-06,54.744
small_a_15,3,3207,687,1410,0,r,1,0,4.668122,1,19,1415,1792,44.122,2736,471,85.313,2193,1014,68.382,4.713568,5.203328,6.855904,5.520384,5.017376,4.887648,5.36992,0.905876,0.68752,0.853848,0.939449,0.964384,0.877773,0,3.83207e-08,5.0276e-11,1.50679e-10,3.58646e-08,3.58646e-08,3.58646e-08,4.363264,1.080285,5.86622e-06,77.6909
init_adder1,3,11156,1813,1813,0,r,1,0,6.153337,1,1310,11138,18,99.839,10681,475,95.742,9167,1989,82.171,19.426016,22.996033,24.348288,23.596319,22.917791,20.139168,23.1064,0.844755,0.797839,0.823265,0.847639,0.964589,0.84072,0,3.05085e-08,1.66258e-10,6.05302e-11,3.00689e-08,3.00689e-08,3.00689e-08,15.564544,1.248094,1.41689e-05,183.757
b2_ss,3,4228,1089,1089,0,r,1,0,3.882461,1,11,1574,2654,37.228,3867,361,91.462,3784,444,89.499,4.312768,4.972416,6.180736,5.318432,4.926336,4.844736,5.36944,0.867339,0.697776,0.81091,0.875451,0.890197,0.803206,0,3.57566e-08,6.80993e-13,1.29589e-10,6.40388e-09,6.40388e-09,6.40388e-09,4.680032,0.921525,6.76271e-06,43.9186
adder_dcop_16,3,11246,1813,1813,0,r,1,0,6.202978,1,1310,11228,18,99.84,7659,3587,68.104,3215,8031,28.588,19.388767,22.918976,24.503551,22.84832,22.461887,19.633568,23.628096,0.84597,0.791264,0.848586,0.863185,0.987532,0.820581,0,3.30361e-08,3.29595e-09,2.35741e-11,2.83003e-08,2.83003e-08,2.83003e-08,14.64864,1.323588,1.3621e-05,182.475
ex33,2,22189,1733,1733,1,r,1,0,12.803808,4,18,8412,13777,37.911,9362,12827,42.192,5251,16938,23.665,18.465343,21.477535,20.685408,20.115904,18.533537,18.55504,21.18992,0.859752,0.892675,0.917947,0.996321,0.995166,0.871421,0,5.00051e-08,1.51356e-14,2.56942e-11,5.90565e-17,5.90565e-17,5.90565e-17,11.125376,1.65975,7.74915e-06,45.5058
sieber,2,14873,2290,2290,0,r,1,0,6.49476,4,2289,6752,8121,45.398,11290,3583,75.909,7159,7714,48.134,28.714144,34.187424,36.623104,35.675968,29.507488,30.420992,33.683842,0.839904,0.784045,0.80486,0.973114,0.943892,0.85246,0,4.00583e-08,7.83443e-14,2.30555e-10,2.43501e-10,2.43501e-10,2.43501e-10,22.817312,1.258437,6.15315e-06,266.376
ex24,3,48737,2283,2283,0,r,1,0,21.347788,9,46,38312,10425,78.61,15762,32975,32.341,0,48737,0.0,46.462593,50.998142,56.484512,55.98608,46.787106,46.600319,47.717121,0.911064,0.822572,0.829895,0.993064,0.997045,0.973709,0,4.21192e-08,3.76368e-09,3.83931e-10,0.0,0.0,0.0,25.28256,1.837733,8.77712e-06,75.297
